,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag
147,MAD,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/madagascar.d4e40c90a09c825b342a.svg
148,MWI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/malawi.a10ef6e03ede645f8917.svg
149,MDV,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/maldives.5c79703645f0d8ebc9f4.svg
150,MLI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/mali.a3f974af7ff6aa4b27a0.svg
151,MLT,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/malta.6928f29dfcc7d1412dfd.svg
152,MAR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/marshall-islands.6be820f03832989f9d0d.svg
153,MTN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/mauritania.ae0a3e0597b58bae9b75.svg
154,MRI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/mauritius.ff6f2620f10ff31bbc33.svg
155,MIC,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/micronesia.af5b16baf5e155456960.svg
156,MON,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/monaco.13c8f0d1014e934dd924.svg
157,MNO,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/montenegro.71ac1f097fe95c070b33.svg
158,MOZ,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/mozambique.bf7aa8d5f7dc2fcead7d.svg
159,MYA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/myanmar.ab5eb70a82c1fc2551fe.svg
160,NAM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/namibia.856126aa9011937409c1.svg
161,NAU,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/nauru.b4221fbbbc7f9196bbba.svg
162,NEP,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/nepal.fe898b5ec8747d057588.svg
163,NCA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/nicaragua.280453a34ac3ea49e28b.svg
164,NIG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/niger.7f89cafb924e89603375.svg
165,NGA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/nigeria.5425e4a9b2bc8e7eeb9d.svg
