,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag,countries
58,GUA,1,0,1,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/guatemala.2df4fbde71e0d4d70ec5.svg,Guatemala
59,MOR,1,0,1,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/morocco.fb3565787e1264241843.svg,Morocco
60,DMA,1,0,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/dominica.e2125430cc67f9ae5392.svg,Dominica
61,PKN,1,0,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/pakistan.0c8a6f29792a5c5b1fbc.svg,Pakistan
62,TUR,0,3,5,8,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/turkey.1105ed08a64178f71750.svg,Türkiye
63,MEX,0,3,2,5,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/mexico.eae5ef9b53f5648a400e.svg,Mexico
64,ARM,0,3,1,4,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/armenia.bf87529795dcd521170d.svg,Armenia
65,COL,0,3,1,4,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/colombia.f5a1a737d36ccd9cef4b.svg,Colombia
66,PRK,0,2,4,6,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/north-korea.7f520a13fa194fc2b050.svg,DPR Korea
67,KGZ,0,2,4,6,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/kyrgyzstan.a826efbf9c5924d1b423.svg,Kyrgyzstan
68,LTU,0,2,2,4,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/lithuania.170086e9b3bfce0ec126.svg,Lithuania
69,IND,0,1,5,6,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/india.ab09e559a71939c655b6.svg,India
70,MDA,0,1,3,4,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/moldova.a061480276c17845881a.svg,Republic of Moldova
71,KOS,0,1,1,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/kosovo.5d3a116887c989685013.svg,Kosovo
72,CYP,0,1,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cyprus.dfe9b65f4676d1965813.svg,Cyprus
73,FIJ,0,1,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/fiji.96c8a0e4b7a575edd328.svg,Fiji
74,JOR,0,1,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/jordan.79a17d221ac0be2c2cd7.svg,Jordan
75,MGL,0,1,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/mongolia.f7a45e7520aba20d4872.svg,Mongolia
76,PAN,0,1,0,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/panama.b5256acbe2fe6c20fb92.svg,Panama
77,TJK,0,0,3,3,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/tajikistan.156f14dcf4b611f0159d.svg,Tajikistan
78,ALB,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/albania.fd662765d16dfae50efd.svg,Albania
79,GRN,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/grenada.4a92fe718dffcd1d5892.svg,Grenada
80,MAS,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/malaysia.952e3511fd31e588bb52.svg,Malaysia
81,PUR,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/puerto-rico.366ab7cbb9024a18f01e.svg,Puerto Rico
82,CPV,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cape-verde.8b5497a10ba2dbefc750.svg,Cabo Verde
83,CIV,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/ivory-coast.7a067489dc9d534c0d9f.svg,Côte d'Ivoire
84,EOR,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/olympics/refugee-olympic-team.b05a07a9b145fe25cae5.svg,EOR
85,PER,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/peru.4b8f5f4e9cca95aaf3bc.svg,Peru
86,QAT,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/qatar.940d38424df1f181b64f.svg,Qatar
87,SIN,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/singapore.ad043f84d9decf4e9c37.svg,Singapore
88,SVK,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/slovakia.a3c7b175b82331e44071.svg,Slovakia
89,ZAM,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/zambia.31e64392612b4127d5ab.svg,Zambia
