,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
0,Germany,1, 3x3 (F) ,3x3 Basketball,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DE.svg
1,Spain,2, 3x3 (F) ,3x3 Basketball,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
2,USA,3, 3x3 (F) ,3x3 Basketball,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
3,Netherlands,1, 3x3 (M) ,3x3 Basketball,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
4,France,2, 3x3 (M) ,3x3 Basketball,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
5,Lithuania,3, 3x3 (M) ,3x3 Basketball,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/LT.svg
6,S.Lim,1, Singles (F) ,Archery,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
7,S.Nam,2, Singles (F) ,Archery,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
8,L.Barbelin,3, Singles (F) ,Archery,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
9,W.-J.Kim,1, Singles (M) ,Archery,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
10,B.Ellison,2, Singles (M) ,Archery,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
11,W.Lee,3, Singles (M) ,Archery,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
12,South Korea,1, Team (F) ,Archery,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
13,China,2, Team (F) ,Archery,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
14,Mexico,3, Team (F) ,Archery,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/MX.svg
15,South Korea,1, Team (M) ,Archery,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
16,France,2, Team (M) ,Archery,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
17,Turkey,3, Team (M) ,Archery,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TR.svg
18,Lim/Kim,1, Team (X) ,Archery,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
19,Kroppen/Unruh,2, Team (X) ,Archery,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DE.svg
20,Kaufhold/Ellis.,3, Team (X) ,Archery,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
21,Wang/Wang,1, Duet Synchronized Swimming ,Artistic Swimming,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
22,Shortman/Thorpe,2, Duet Synchronized Swimming ,Artistic Swimming,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
23,Brouwer/Brouwer,3, Duet Synchronized Swimming ,Artistic Swimming,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
24,China,1, Team Synchronized Swimming ,Artistic Swimming,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
25,USA,2, Team Synchronized Swimming ,Artistic Swimming,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
26,Spain,3, Team Synchronized Swimming ,Artistic Swimming,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
27,B.Chebet,1," 10,000m (F) ",Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
28,N.Battocletti,2," 10,000m (F) ",Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
29,S.Hassan,3," 10,000m (F) ",Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
30,J.Cheptegei,1," 10,000m (M) ",Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UG.svg
31,B.Aregawi,2," 10,000m (M) ",Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ET.svg
32,G.Fisher,3," 10,000m (M) ",Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
33,J.Alfred,1, 100m (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/LC.svg
34,S.Richardson,2, 100m (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
35,M.Jefferson,3, 100m (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
36,N.Lyles,1, 100m (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
37,K.Thompson,2, 100m (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JM.svg
38,F.Kerley,3, 100m (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
39,M.Russell,1, 100m Hurdles (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
40,C.Samba-Mayela,2, 100m Hurdles (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
41,J.Quinn,3, 100m Hurdles (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/PR.svg
42,G.Holloway,1, 110m Hurdles (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
43,D.Roberts,2, 110m Hurdles (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
44,R.Broadbell,3, 110m Hurdles (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JM.svg
45,F.Kipyegon,1, 1500m (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
46,J.Hull,2, 1500m (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
47,G.Bell,3, 1500m (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
48,C.Hocker,1, 1500m (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
49,J.Kerr,2, 1500m (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
50,Y.Nuguse,3, 1500m (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
51,G.Thomas,1, 200m (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
52,J.Alfred,2, 200m (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/LC.svg
53,B.Brown,3, 200m (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
54,L.Tebogo,1, 200m (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BW.svg
55,K.Bednarek,2, 200m (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
56,N.Lyles,3, 200m (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
57,J.Yang,1, 20km (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
58,M.Pérez,2, 20km (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
59,J.Montag,3, 20km (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
60,B.Pintado,1, 20km (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/EC.svg
61,C.Bonfim,2, 20km (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BR.svg
62,Á.Martín,3, 20km (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
63,W.M.Yavi,1, 3000m Steeplechase (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BH.svg
64,P.Chemutai,2, 3000m Steeplechase (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UG.svg
65,F.Cherotich,3, 3000m Steeplechase (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
66,S.El Bakkali,1, 3000m Steeplechase (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/MA.svg
67,K.Rooks,2, 3000m Steeplechase (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
68,A.Kibiwot,3, 3000m Steeplechase (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
69,M.Paulino,1, 400m (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DO.svg
70,S.E.Naser,2, 400m (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BH.svg
71,N.Kaczmarek,3, 400m (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/PL.svg
72,Q.Hall,1, 400m (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
73,M.Hudson-Smith,2, 400m (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
74,M.Samukonga,3, 400m (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ZM.svg
75,S.McLaughlin,1, 400m Hurdles (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
76,A.Cockrell,2, 400m Hurdles (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
77,F.Bol,3, 400m Hurdles (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
78,R.Benjamin,1, 400m Hurdles (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
79,K.Warholm,2, 400m Hurdles (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NO.svg
80,A.Dos Santos,3, 400m Hurdles (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BR.svg
81,USA,1, 4x100m Relay (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
82,Great Britain,2, 4x100m Relay (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
83,Germany,3, 4x100m Relay (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DE.svg
84,Canada,1, 4x100m Relay (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
85,South Africa,2, 4x100m Relay (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ZA.svg
86,Great Britain,3, 4x100m Relay (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
87,USA,1, 4x400m Relay (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
88,Netherlands,2, 4x400m Relay (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
89,Great Britain,3, 4x400m Relay (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
90,USA,1, 4x400m Relay (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
91,Botswana,2, 4x400m Relay (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BW.svg
92,Great Britain,3, 4x400m Relay (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
93,Netherlands,1, 4x400m Relay (Mixed) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
94,USA,2, 4x400m Relay (Mixed) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
95,Great Britain,3, 4x400m Relay (Mixed) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
96,B.Chebet,1, 5000m (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
97,F.Kipyegon,2, 5000m (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
98,S.Hassan,3, 5000m (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
99,J.Ingebrigtsen,1, 5000m (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NO.svg
100,R.Kwemoi,2, 5000m (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
101,G.Fisher,3, 5000m (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
102,K.Hodgkinson,1, 800m (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
103,T.Duguma,2, 800m (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ET.svg
104,M.Moraa,3, 800m (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
105,E.Wanyonyi,1, 800m (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
106,M.Arop,2, 800m (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
107,D.Sedjati,3, 800m (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DZ.svg
108,M.Rooth,1, Decathlon (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NO.svg
109,L.Neugebauer,2, Decathlon (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DE.svg
110,L.Victor,3, Decathlon (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GD.svg
111,V.Allman,1, Discus Throw (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
112,B.Feng,2, Discus Throw (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
113,S.Elkasević,3, Discus Throw (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/HR.svg
114,R.Stona,1, Discus Throw (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JM.svg
115,M.Alekna,2, Discus Throw (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/LT.svg
116,M.Denny,3, Discus Throw (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
117,C.Rogers,1, Hammer Throw (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
118,A.Echikunwoke,2, Hammer Throw (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
119,J.Zhao,3, Hammer Throw (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
120,E.Katzberg,1, Hammer Throw (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
121,B.Halász,2, Hammer Throw (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/HU.svg
122,M.Kokhan,3, Hammer Throw (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UA.svg
123,N.Thiam,1, Heptathlon (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BE.svg
124,K.Johnson-Thomp,2, Heptathlon (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
125,N.Vidts,3, Heptathlon (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BE.svg
126,Y.Mahuchikh,1, High Jump (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UA.svg
127,N.Olyslagers,2, High Jump (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
128,E.Patterson,3, High Jump (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
129,I.Herashchenko,3, High Jump (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UA.svg
130,H.Kerr,1, High Jump (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NZ.svg
131,S.McEwen,2, High Jump (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
132,M.Barshim,3, High Jump (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/QA.svg
133,H.Kitaguchi,1, Javelin Throw (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
134,J.Van Dyk,2, Javelin Throw (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ZA.svg
135,N.Ogrodníková,3, Javelin Throw (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CZ.svg
136,A.Nadeem,1, Javelin Throw (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/PK.svg
137,N.Chopra,2, Javelin Throw (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IN.svg
138,A.Peters,3, Javelin Throw (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GD.svg
139,T.Davis,1, Long Jump (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
140,M.Mihambo,2, Long Jump (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DE.svg
141,J.Moore,3, Long Jump (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
142,M.Tentóglou,1, Long Jump (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GR.svg
143,W.Pinnock,2, Long Jump (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JM.svg
144,M.Furlani,3, Long Jump (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
145,S.Hassan,1, Marathon (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NL.svg
146,T.Assefa,2, Marathon (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ET.svg
147,H.Obiri,3, Marathon (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
148,T.Tola,1, Marathon (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ET.svg
149,B.Abdi,2, Marathon (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BE.svg
150,B.Kipruto,3, Marathon (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KE.svg
151,N.Kennedy,1, Pole Vault (F) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
152,K.Moon,2, Pole Vault (F) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
153,A.Newman,3, Pole Vault (F) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
154,A.Duplantis,1, Pole Vault (M) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/SE.svg
155,S.Kendricks,2, Pole Vault (M) ,Athletics,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
156,E.Karalis,3, Pole Vault (M) ,Athletics,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GR.svg
157,Perez/Martín,1, Race Walking Marathon (X) ,Athletics,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
