,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
888,V.Marton,1, Up to 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/HU.svg
889,A.Perisic,2, Up to 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/RS.svg
890,K.Teachout,3, Up to 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
891,S.Chaari,3, Up to 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BE.svg
892,U.Rashitov,1, Up to 68kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UZ.svg
893,Z.Kareem,2, Up to 68kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JO.svg
894,Y.Liang,3, Up to 68kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
895,E.Pontes,3, Up to 68kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BR.svg
896,F.Katoussi,1, Up to 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TN.svg
897,M.Barkhordari,2, Up to 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
898,S.Alessio,3, Up to 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
899,E.Hrnic,3, Up to 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DK.svg
900,Siniako./Machac,1, Double (Mixed) ,Tennis,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CZ.svg
901,Wang/Zhang,2, Double (Mixed) ,Tennis,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
902,Dabrow./Auger,3, Double (Mixed) ,Tennis,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
903,Ebden/Peers,1, Doubles Tennis ,Tennis,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AU.svg
904,Krajicek/Ram,2, Doubles Tennis ,Tennis,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
905,Fritz/Paul,3, Doubles Tennis ,Tennis,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
906,Errani/Paolini,1, Doubles Tennis (F) ,Tennis,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
907,Andreev./Shnai.,2, Doubles Tennis (F) ,Tennis,C:\Users\t480\Downloads\silverimage.svg,
908,Sorribes/Bucsa,3, Doubles Tennis (F) ,Tennis,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
909,N. Djokovic,1, Singles Tennis ,Tennis,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/RS.svg
910,C. Alcaraz,2, Singles Tennis ,Tennis,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/ES.svg
911,L. Musetti,3, Singles Tennis ,Tennis,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IT.svg
912,Q. Zheng,1, Singles Tennis (F) ,Tennis,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
913,D. Vekić,2, Singles Tennis (F) ,Tennis,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/HR.svg
914,I. Świątek,3, Singles Tennis (F) ,Tennis,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/PL.svg
